nombre_normalizado,veredicto,categoria,metodo,razon
artes visuales,EXCLUIR,,lexico,Artes visuales/plásticas
artes visuales y fotografia,EXCLUIR,,lexico,Artes visuales/plásticas
artes y oficios,EXCLUIR,,lexico,Arte sin mención musical explícita
artifice del fuego con especializacion en ceramica o vidrio o joyeria,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
asistencia en educacion parvularia y primer ciclo educacion gral.basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistencia juridica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente computacional bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de arquitectura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de arquitectura y diseno,EXCLUIR,,lexico,Artes visuales/plásticas
asistente de biblioteca y centros de informacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de biblioteca y usos de fuentes de informacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educacion de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educacion diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educacion parvularia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educacion parvularia y basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educacion parvularia y nb1,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educador de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de educadora de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de la educacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de odontologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de odontologia(modulos),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de parvulo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de parvulo y primer ciclo educacion basica mencion necesidades educativas especiales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de parvulo y primer ciclo educacion basica mencion trastornos del aprendizaje,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente de parvulos y aula,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"asistente de parvulos, especializacion en integracion escolar",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente del educador de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente del educador de parvulos con especializacion montessori,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente del educador diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente del educador diferencial con mencion en deficiencia mental y/o trastornos especificos del aprendizaje,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutiva (o),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutiva en gestion administrativa,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo bilingue o asistente ejecutivo y de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo en gestion administrativa,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo gerencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo gerencial con mencion en computacion o bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente ejecutivo y de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente en educacion de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente en educacion parvularia y basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente en odontologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente gerencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente gerencial bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente gerencial y comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente gestion ejecutiva bilingue y computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente judicial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente juridico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico de educacion parvularia y del primer nivel de educacion general basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico del educador de parvulo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico del educador de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico diferencial mencion integracion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico para la educacion parvularia y basica mencion en educacion diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico para la educacion parvularia y el nb1,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente tecnico superior de educacion parvularia y del primer nivel,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
asistente traductor de alta gerencia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
astrofisica con mencion en ciencia de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
astronomia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria (continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria (plan de continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria e ingenieria en control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria e ingenieria en control de gestion (plan de continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria plan especial,EXCLUIR,,llm,"Referencia a auditoría, no es programa musical."
auditoria vespertino,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria y analisis de negocio,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"auditoria, continuidad",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auditoria.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
automatizacion y control industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auxiliar paramedico de odontologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auxiliar paramedico en farmacia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
auxiliar paramedico en odontologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller canonico en teologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller de formacion general,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller de formacion general-modalidad e-learning,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller en artes,EXCLUIR,,lexico,Arte sin mención musical explícita
bachiller en ciencias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller en ciencias y humanidades,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller en estudios pastorales con mencion en trabajo eclesial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachiller en musica,INCLUIR,Formación musical general,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
bachillerato,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato de comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato de ingenieria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato de ingenieria civil,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato de ingenieria comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato de obstetricia y puericultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en administracion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en administracion de servicios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en administracion y economia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en arte,EXCLUIR,,lexico,Arte sin mención musical explícita
bachillerato en artes,EXCLUIR,,lexico,Arte sin mención musical explícita
"bachillerato en artes, arquitectura y diseno",EXCLUIR,,lexico,Artes visuales/plásticas
bachillerato en ciencias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias basicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias biomedicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias de ingenieria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias de la ingenieria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias de la ingenieria (coy),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias de la ingenieria plan comun,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias de la salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias e innovacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias juridicas y humanidades,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias matematicas y economicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias naturales y exactas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias naturales y matematica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias para medicina y odontologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias plan comun,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias religiosas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
bachillerato en ciencias sociales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
